question,answer,context
What was NVIDIA's total revenue in fiscal 2025?,$60.9 billion.,"NVIDIA reported total revenue of $60.9 billion for fiscal year 2025, driven by strong demand in data center and AI markets."
What are the key components of NVIDIA's full-stack computing strategy?,"Chips, systems, software, libraries, frameworks, and services.","NVIDIA's full-stack platform integrates GPUs, CPUs, networking, and software like CUDA, AI Enterprise, and Omniverse to deliver end-to-end solutions."
What proportion of NVIDIA’s workforce was engaged in R&D by fiscal 2025?,Approximately 75%.,"By 2025, 22,200 of NVIDIA’s 29,600 employees were working in research and development roles."
What was NVIDIA’s GAAP gross profit in fiscal year 2025?,$45.2 billion.,"NVIDIA recorded a gross profit of $45.2 billion in fiscal 2025, reflecting high margins on data center products."
What does NVIDIA’s vGPU software enable?,Virtualization of GPU capabilities for desktops and workstations.,"vGPU allows enterprises to run GPU-accelerated applications in virtual environments, improving resource utilization and scalability."
What is the purpose of NVIDIA's DOCA software framework?,To support development on BlueField DPUs for networking and security.,"DOCA provides tools for developers to build hardware-accelerated applications on BlueField, optimizing data center infrastructure."
What market dynamic did NVIDIA cite as influencing gaming revenue in 2023?,Post-pandemic normalization and reduced channel inventory.,Gaming revenue softened due to macroeconomic trends and inventory adjustments after strong pandemic-era demand.
How does NVIDIA measure developer ecosystem growth?,By tracking CUDA and SDK adoption and engagement across 4.7 million developers.,"The CUDA platform had over 4.7 million developers in 2024, showing wide industry adoption."
Which NVIDIA product supports AV AI training and in-vehicle inference?,DRIVE Hyperion platform.,"DRIVE Hyperion combines sensors, AI compute, and simulation tools for autonomous driving applications."
How many countries did NVIDIA operate in by fiscal year 2025?,35 countries.,"NVIDIA employed staff across 35 countries, supporting global research and business operations."
What financial strategy did NVIDIA use to manage supply chain uncertainty?,Non-cancellable component orders and supplier prepayments.,"To ensure supply, NVIDIA committed early payments and long-term inventory procurement agreements with key vendors."
Which cloud partners host NVIDIA DGX Cloud?,"Oracle, Microsoft Azure, and Google Cloud.","DGX Cloud launched with partners including Oracle, Azure, and Google Cloud to provide scalable AI training infrastructure."
How does NVIDIA assist developers building AI applications?,"Through SDKs, pretrained models, APIs, and the Deep Learning Institute.","NVIDIA supports AI development with CUDA SDKs, enterprise software, and educational content from the Deep Learning Institute."
What is NVIDIA’s Grace Hopper architecture known for?,Combining CPU and GPU to accelerate AI and scientific computing.,Grace Hopper integrates the Grace CPU and Hopper GPU with high-bandwidth memory for large AI workloads.
What metric does NVIDIA use to highlight environmental efficiency in supercomputing?,Green500 rankings.,"NVIDIA powers 23 of the top 30 Green500 supercomputers, which rank systems by energy efficiency."
What diversity initiative does NVIDIA track in its U.S. workforce?,Representation of Black/African American and Hispanic/Latino employees.,NVIDIA tracks diversity and reported 6% of U.S. workforce as Black or Hispanic in fiscal 2023.
What legal risk did NVIDIA disclose related to U.S. export restrictions?,Loss of access to key international markets.,Export restrictions on AI GPUs to China and other regions posed a risk to NVIDIA's revenue and operations.
Which NVIDIA solution helps artists and designers simulate physics in 3D scenes?,NVIDIA RTX and Omniverse.,"RTX offers ray tracing, and Omniverse supports simulation of physics and materials for professional 3D design."
What system does NVIDIA use to deliver large-scale AI compute as a service?,DGX Cloud platform.,DGX Cloud enables customers to train models on NVIDIA infrastructure with access to optimized software and support.
What role does the NVIDIA Studio program serve?,To optimize creative applications on GeForce and RTX GPUs.,"Studio provides drivers and tools for creators using apps like Adobe Premiere, improving rendering and stability."
