question,answer,context
How did NVIDIA's revenue trend from 2021 to 2025?,NVIDIA's revenue increased significantly from $16.7 billion in fiscal year 2021 to $60.9 billion in fiscal year 2025.,"NVIDIA's revenue rose from $16.7 billion in 2021, to $26.9 billion in 2022, $27.0 billion in 2023, $60.9 billion in 2025, indicating a substantial jump in fiscal 2025."
What shift occurred in NVIDIA's employee headcount from 2021 to 2024?,"NVIDIA's employee count grew from approximately 18,100 in 2021 to 29,600 in 2024.","The company's workforce expanded from 18,100 in 2021 to 22,473 in 2022, 26,196 in 2023, and 29,600 in 2024, showing consistent growth."
How did the percentage of R&D employees evolve between 2021 and 2024?,The proportion of employees in R&D increased from around 70% in 2021 to about 75% in 2024.,"In 2021, NVIDIA reported over 70% of its workforce in R&D, rising to 75% in 2024 with 22,200 of 29,600 employees in that function."
What was NVIDIA’s net income in fiscal year 2025 and how does it compare to 2024?,"$29.8 billion in 2025, up from $12.3 billion in 2024.","NVIDIA's net income nearly doubled from $12.3 billion in 2024 to $29.8 billion in 2025, indicating strong earnings growth."
What new software service did NVIDIA launch in fiscal 2024?,"NVIDIA launched DGX Cloud, an AI-training-as-a-service platform.","DGX Cloud was introduced in 2024 as a cloud-based AI training service, hosted in partner data centers with access to pretrained models and NVIDIA expertise."
How did NVIDIA's investment in R&D change from 2021 to 2024?,R&D expenses rose from $3.9 billion in 2021 to over $7.3 billion in 2024.,"NVIDIA's R&D expenses increased steadily each year, reaching $7.3 billion in fiscal 2024, up from $3.9 billion in fiscal 2021."
How did U.S. export controls impact NVIDIA’s business in 2024?,"Export controls restricted sales of high-performance GPUs to China and other countries, affecting revenue and customer relationships.","In October 2023, new U.S. export controls limited sales of A100, H100, and similar GPUs to countries like China and Saudi Arabia, impacting NVIDIA’s market access."
What milestone did NVIDIA achieve in terms of renewable energy by fiscal 2023?,NVIDIA matched 44% of its global electricity use with renewable energy purchases.,"In 2023, NVIDIA increased renewable energy coverage to 44% of its electricity use, progressing toward a 100% match by fiscal 2025."
What was NVIDIA’s total market capitalization as of July 2023?,$1.1 trillion.,"As of July 28, 2023, the market value of NVIDIA shares held by non-affiliates was approximately $1.1 trillion."
What product family contributed most to NVIDIA’s fiscal 2025 revenue growth?,"The Data Center segment, particularly GPUs for generative AI and LLMs.","Revenue growth in 2025 was driven by strong demand for NVIDIA’s GPUs used in generative AI and LLM training, primarily in the Data Center segment."
How did NVIDIA’s automotive segment evolve from 2021 to 2024?,It expanded into a full-stack platform including simulation and over-the-air update capabilities.,NVIDIA’s DRIVE Hyperion platform grew from AI cockpit solutions in 2021 to include simulation (DRIVE Sim) and continuous update capabilities by 2024.
"What is Earth-2, and what is its purpose?",Earth-2 is a digital twin of the Earth for high-resolution climate prediction and mitigation strategy exploration.,NVIDIA is building Earth-2 using Omniverse and AI to support ultra-high-resolution modeling of climate change effects and planning responses.
What proportion of the Green500’s top 30 supercomputers were powered by NVIDIA in 2023?,23 of the top 30 systems.,NVIDIA-powered systems held 23 of the top 30 energy-efficient rankings in the November 2022 Green500 supercomputer list.
What was the total number of software applications supported by NVIDIA GPUs by 2024?,"Over 3,500 applications.","By 2024, NVIDIA GPUs supported more than 3,500 scientific, engineering, and graphics software applications."
How many developers used NVIDIA’s CUDA platform as of 2024?,Over 4.7 million developers.,"As of 2024, NVIDIA reported more than 4.7 million developers using CUDA and related tools."
Which new processor class did NVIDIA introduce after acquiring Mellanox?,The Data Processing Unit (DPU).,"Following the Mellanox acquisition, NVIDIA launched the DPU as a new processor class for data center networking and security."
"What CPU did NVIDIA release in fiscal 2024, and what was its intended use?","The Grace CPU, designed for AI and HPC workloads.","Grace was NVIDIA’s first CPU for data centers, introduced in fiscal 2024 to support large-scale AI and high-performance computing."
What is the primary goal of the NVIDIA Omniverse platform?,To enable collaborative 3D design and real-time digital twin simulation.,Omniverse provides tools for professionals to simulate real-world processes and assets in 3D environments for industries like automotive and manufacturing.
What was NVIDIA's overall turnover rate in fiscal 2023?,5.3%.,"NVIDIA reported an employee turnover rate of 5.3% in fiscal year 2023, indicating strong employee retention."
How did NVIDIA support employee development and retention in 2023?,"Through coaching, internal transfers, mentoring programs, and tuition reimbursement.","In 2023, NVIDIA supported its workforce with coaching, development programs, mentoring for underrepresented groups, and career mobility options."
