"What was the total acquisition termination cost NVIDIA recorded?","$1.35 billion","NVIDIA recorded an acquisition termination cost of $1.35 billion in fiscal year 2023 reflecting the write-off of the prepayment provided at signing due to the terminated acquisition of Arm Limited."
"In 2023, what are the two primary segments in which NVIDIA reports its business results?","Compute & Networking and Graphics","In 2023, NVIDIA reports its business results in two segments: Compute & Networking and Graphics."
"Which architecture was introduced with the GeForce RTX 40 Series?","Ada Lovelace architecture","In fiscal year 2023, NVIDIA introduced the GeForce RTX 40 Series of gaming GPUs, based on the Ada Lovelace architecture."
"In 2023, what platform enables scientists to perform ultra-high-resolution predictions of climate change impacts?","Earth-2 on NVIDIA AI and Omniverse","In 2023, NVIDIA plans to build Earth-2, a digital twin of the Earth on NVIDIA AI and Omniverse platforms, to enable high-resolution predictions of climate change."
"How many employees did NVIDIA have at the end of fiscal year 2023?","26,196 employees","As of the end of fiscal year 2023, NVIDIA had 26,196 employees in 35 countries."
"What percentage of NVIDIA's fiscal year 2023 hires came from employee referrals?","Over 37%","Over 37% of NVIDIA's new hires in fiscal year 2023 came from employee referrals."
"What is NVIDIA's goal for renewable energy usage by the end of fiscal year 2025 in the year 2023?","Match 100% of global electricity usage with renewable energy","NVIDIA aims to purchase or generate enough renewable energy to match 100% of its global electricity usage for offices and data centers by the end of fiscal year 2025."
"What product was NVIDIA's first Hopper-based GPU introduced in the year 2023?","H100","In fiscal year 2023, NVIDIA introduced the Hopper architecture and started shipping the first Hopper-based GPU – the flagship H100."
"How many developers were using CUDA and NVIDIA software tools as of fiscal year 2023?","3.8 million developers","In fiscal year 2023, there are 3.8 million developers worldwide using CUDA and other NVIDIA software tools."
"In 2023, which NVIDIA platform provides a digital twin simulation environment for autonomous vehicle development?","NVIDIA DRIVE Sim","In 2023, NVIDIA DRIVE Sim, based on Omniverse, provides a data center-based simulation platform for digital cockpit and self-driving platform development."
"What was the employee turnover rate at NVIDIA in fiscal year 2023?","5.30%","In fiscal year 2023, NVIDIA's overall employee turnover rate was 5.3%."
"In 2023, what are NVIDIA's four key market platforms?","Data Center, Gaming, Professional Visualization, and Automotive","In 2023, NVIDIA's platforms address four large markets: Data Center, Gaming, Professional Visualization, and Automotive."
"In 2023, what AI capability does the Transformer Engine in H100 GPUs accelerate?","Training of AI transformer models","In 2023, the Transformer Engine in the H100 GPU accelerates the training of AI transformer models by an order of magnitude over the prior generation."
"What percentage of the top 30 systems on the Green500 list did NVIDIA power in November 2022?","23 of the top 30 systems in 2022","NVIDIA powered 23 of the top 30 most energy efficient systems on the November 2022 Green500 list."
"In 2023, which system is NVIDIA's AI supercomputer designed for deep learning?","DGX","In 2023, NVIDIA's DGX AI supercomputer is a purpose-built system for deep learning and GPU accelerated applications."
"In 2023, which companies does NVIDIA list as suppliers for semiconductor wafer production?","Taiwan Semiconductor Manufacturing Company Limited and Samsung Electronics Co. Ltd.","In 2023, NVIDIA utilizes Taiwan Semiconductor Manufacturing Company Limited and Samsung Electronics Co. Ltd. to produce semiconductor wafers."
"What simulation platform is Earth-2 based on in 2023?","NVIDIA Omniverse","In 2023, earth-2 is based on NVIDIA Omniverse and NVIDIA AI platforms for climate simulation."
"In 2023, what is nVIDIA's automotive AI platform brand?","DRIVE Hyperion","In 2023, nVIDIA delivers its end-to-end solution for the AV market under the DRIVE Hyperion brand."
"In 2023, which GPU architecture introduced in 2023 includes third-generation RTX and DLSS technologies?","Ada Lovelace","The GeForce RTX 40 Series, introduced in fiscal year 2023, is based on the Ada Lovelace architecture featuring third-generation RTX and DLSS."
"In 2023, what end markets can NVIDIA's unified architecture support due to its programmable nature?","Data Center, Gaming, Professional Visualization, Automotive","In 2023, nVIDIA's unified programmable architecture allows it to support multiple end markets including Data Center, Gaming, Professional Visualization, and Automotive."
"In 2023, what percentage of the top 25 HPC applications are supported by NVIDIA GPUs?","92% (23 out of 25)","In 2023, nVIDIA GPUs support 23 of the top 25 high-performance computing (HPC) applications."
"In 2023, which AI cloud infrastructure service did NVIDIA announce to support enterprise customers?","NVIDIA DGX Cloud","In 2023, NVIDIA announced the NVIDIA DGX Cloud, a cloud-based infrastructure and software for training AI models."
"In 2023, what is the name of NVIDIA's full-stack AI software suite for enterprise use?","NVIDIA AI Enterprise","In 2023, NVIDIA offers paid licenses to NVIDIA AI Enterprise, a comprehensive suite of enterprise-grade AI software."
"What was NVIDIA's market value held by non-affiliates as of July 29, 2022, in 2023?","$434.37 billion","The aggregate market value of the voting stock held by non-affiliates as of July 29, 2022 was approximately $434.37 billion."
"How many applications are supported by NVIDIA GPUs as of fiscal year 2023?","Over 2,800 applications","In fiscal year 2023, NVIDIA GPUs support over 2,800 applications, including 23 of the top 25 HPC applications."
"What major export control event impacted NVIDIA in Q3 FY2023?","New U.S. licensing requirements for exports to China and Russia","During Q3 FY2023, the U.S. government announced new license requirements that impact exports of certain data center products to China and Russia."
"Which GPU introduced in the year 2023 is designed for large AI models and complex workloads?","H100","The Hopper-based H100 GPU, introduced in FY2023, is ideal for large language models, deep recommender systems, genomics, and complex digital twins."
"In 2023, what energy-efficiency benchmark does NVIDIA consistently rank highly on in 2023?","Green500 list","NVIDIA powered 23 of the top 30 most energy efficient systems on the November 2022 Green500 list."
"What key software platform supports NVIDIA's virtual simulation technologies in 2023?","NVIDIA Omniverse","In 2023, nVIDIA Omniverse is used for simulation platforms like Earth-2 and DRIVE Sim, supporting metaverse and 3D internet applications."
"In 2023, what was the generation of DLSS technology introduced with the RTX 40 Series?","Third generation","In 2023, the RTX 40 Series GPUs introduced third generation DLSS technology for enhanced performance and visual fidelity."
"In the year 2023, which processor architecture is used in the Grace CPU?","Arm architecture","In the year 2023, the Grace CPU is designed for AI infrastructure and HPC and is based on Arm architecture."
"How many startups were part of NVIDIA's Inception program as of fiscal year 2023?","Over 13,000 startups","NVIDIA's Inception program included over 13,000 startups by the end of fiscal year 2023."
"In 2023, which product is NVIDIA's solution for high-precision edge AI computing?","NVIDIA IGX","In 2023, NVIDIA IGX is part of NVIDIA's product portfolio focused on high-precision edge AI computing."
"What feature of NVIDIA RTX enables cinematic-quality real-time rendering in 2023?","Ray tracing","In 2023, nVIDIA RTX features ray tracing technology, which enables cinematic-quality real-time rendering."
"What training platform does NVIDIA use in 2023 to teach neural network design and deployment?","Deep Learning Institute","In 2023, nVIDIA's Deep Learning Institute provides training on how to design, train, and deploy neural networks using accelerated computing."
"""In 2023, which interface supports software-defined networking for BlueField DPUs?","DOCA","In 2023, the BlueField DPU is supported by the DOCA software stack for software-defined networking, storage, and security."""
"In 2023, what is the main goal of NVIDIA's DRIVE Concierge platform?","Provide intelligent in-vehicle experiences","In 2023, dRIVE Concierge is part of NVIDIA's DRIVE Software platform, focused on intelligent in-vehicle experiences and conversational AI."
"What proportion of NVIDIA's workforce held technical roles at the end of FY2023?","Approximately 80%","NVIDIA's workforce was about 80% technical at the end of fiscal year 2023."
"In 2023, which countries host NVIDIA's third-party warehouses?","Hong Kong, Israel, and the United States","In 2023, NVIDIA's third-party warehouses are located in Hong Kong, Israel, and the United States."
"In 2023, what company does NVIDIA collaborate with to manufacture networking cables?","Fabrinet","In 2023, Fabrinet manufactures NVIDIA's networking cables used in its data center platforms."
