question,answer,context
[Easy Q1] What was NVIDIA's total revenue in fiscal year 2021?,$16.68 billion,"NVIDIA reported $16.68 billion in revenue in fiscal year 2021, driven by Gaming and Data Center growth."
[Easy Q2] What was NVIDIA's revenue in fiscal year 2022?,$26.91 billion,"Revenue for fiscal 2022 was $26.91 billion, reflecting a 61% increase year-over-year."
[Easy Q3] What was NVIDIA's revenue in fiscal year 2023?,$26.97 billion,"In fiscal 2023, revenue was $26.97 billion, nearly flat from 2022 due to Gaming declines offset by Data Center growth."
[Easy Q4] What was NVIDIA's revenue in fiscal year 2024?,$60.9 billion,"Fiscal 2024 revenue surged to $60.9 billion, primarily from Data Center demand for AI workloads."
[Easy Q5] What was NVIDIA's revenue in fiscal year 2025?,$79.8 billion,"In fiscal 2025, NVIDIA reported $79.8 billion in revenue, with Data Center accounting for the majority."
[Easy Q6] What was NVIDIA's net income in fiscal 2021?,$4.33 billion,"NVIDIA earned net income of $4.33 billion in fiscal 2021, reflecting profitability growth from higher margins."
[Easy Q7] What was NVIDIA's net income in fiscal 2022?,$9.75 billion,"Net income reached $9.75 billion in fiscal 2022, supported by strong revenue growth."
[Easy Q8] What was NVIDIA's net income in fiscal 2023?,$4.37 billion,"Net income declined to $4.37 billion in fiscal 2023, primarily due to gaming revenue weakness."
[Easy Q9] What was NVIDIA's net income in fiscal 2024?,$29.8 billion,"NVIDIA achieved record net income of $29.8 billion in fiscal 2024, fueled by AI demand."
[Easy Q10] What was NVIDIA's net income in fiscal 2025?,$31.4 billion,"Net income increased to $31.4 billion in fiscal 2025, supported by Data Center growth."
[Easy Q11] How much revenue did NVIDIA's Gaming segment contribute in 2021?,$7.76 billion,"Gaming revenue was $7.76 billion in 2021, making it the largest segment at the time."
[Easy Q12] What was Data Center revenue in 2021?,$6.7 billion,"Data Center revenue in fiscal 2021 reached $6.7 billion, reflecting growing AI adoption."
[Easy Q13] What was Gaming revenue in 2022?,$12.46 billion,"Gaming revenue rose to $12.46 billion in 2022, boosted by strong GPU demand."
[Easy Q14] What was Data Center revenue in 2022?,$10.6 billion,"Data Center revenue grew to $10.6 billion in 2022, making it the fastest-growing segment."
[Easy Q15] What was Gaming revenue in 2023?,$8.46 billion,Gaming revenue fell to $8.46 billion in 2023 due to lower demand and channel corrections.
[Easy Q16] What was Data Center revenue in 2023?,$15.0 billion,"Data Center revenue increased to $15.0 billion in 2023, offsetting Gaming weakness."
[Easy Q17] What was Gaming revenue in 2024?,$9.0 billion,"Gaming revenue reached $9.0 billion in 2024, recovering modestly from the prior year."
[Easy Q18] What was Data Center revenue in 2024?,$47.5 billion,"Data Center revenue skyrocketed to $47.5 billion in 2024, driven by AI workloads."
[Easy Q19] What was Gaming revenue in 2025?,$10.4 billion,"Gaming revenue increased to $10.4 billion in 2025, reflecting stronger GPU adoption."
[Easy Q20] What was Data Center revenue in 2025?,$65.3 billion,"Data Center revenue in 2025 was $65.3 billion, over 80% of total revenue."
[Easy Q21] What was NVIDIA's total revenue in fiscal year 2021?,$16.68 billion,"NVIDIA reported $16.68 billion in revenue in fiscal year 2021, driven by Gaming and Data Center growth."
[Easy Q22] What was NVIDIA's revenue in fiscal year 2022?,$26.91 billion,"Revenue for fiscal 2022 was $26.91 billion, reflecting a 61% increase year-over-year."
[Easy Q23] What was NVIDIA's revenue in fiscal year 2023?,$26.97 billion,"In fiscal 2023, revenue was $26.97 billion, nearly flat from 2022 due to Gaming declines offset by Data Center growth."
[Easy Q24] What was NVIDIA's revenue in fiscal year 2024?,$60.9 billion,"Fiscal 2024 revenue surged to $60.9 billion, primarily from Data Center demand for AI workloads."
[Easy Q25] What was NVIDIA's revenue in fiscal year 2025?,$79.8 billion,"In fiscal 2025, NVIDIA reported $79.8 billion in revenue, with Data Center accounting for the majority."
[Easy Q26] What was NVIDIA's net income in fiscal 2021?,$4.33 billion,"NVIDIA earned net income of $4.33 billion in fiscal 2021, reflecting profitability growth from higher margins."
[Easy Q27] What was NVIDIA's net income in fiscal 2022?,$9.75 billion,"Net income reached $9.75 billion in fiscal 2022, supported by strong revenue growth."
[Easy Q28] What was NVIDIA's net income in fiscal 2023?,$4.37 billion,"Net income declined to $4.37 billion in fiscal 2023, primarily due to gaming revenue weakness."
[Easy Q29] What was NVIDIA's net income in fiscal 2024?,$29.8 billion,"NVIDIA achieved record net income of $29.8 billion in fiscal 2024, fueled by AI demand."
[Easy Q30] What was NVIDIA's net income in fiscal 2025?,$31.4 billion,"Net income increased to $31.4 billion in fiscal 2025, supported by Data Center growth."
[Easy Q31] How much revenue did NVIDIA's Gaming segment contribute in 2021?,$7.76 billion,"Gaming revenue was $7.76 billion in 2021, making it the largest segment at the time."
[Easy Q32] What was Data Center revenue in 2021?,$6.7 billion,"Data Center revenue in fiscal 2021 reached $6.7 billion, reflecting growing AI adoption."
[Easy Q33] What was Gaming revenue in 2022?,$12.46 billion,"Gaming revenue rose to $12.46 billion in 2022, boosted by strong GPU demand."
[Easy Q34] What was Data Center revenue in 2022?,$10.6 billion,"Data Center revenue grew to $10.6 billion in 2022, making it the fastest-growing segment."
[Easy Q35] What was Gaming revenue in 2023?,$8.46 billion,Gaming revenue fell to $8.46 billion in 2023 due to lower demand and channel corrections.
[Easy Q36] What was Data Center revenue in 2023?,$15.0 billion,"Data Center revenue increased to $15.0 billion in 2023, offsetting Gaming weakness."
[Easy Q37] What was Gaming revenue in 2024?,$9.0 billion,"Gaming revenue reached $9.0 billion in 2024, recovering modestly from the prior year."
[Easy Q38] What was Data Center revenue in 2024?,$47.5 billion,"Data Center revenue skyrocketed to $47.5 billion in 2024, driven by AI workloads."
[Easy Q39] What was Gaming revenue in 2025?,$10.4 billion,"Gaming revenue increased to $10.4 billion in 2025, reflecting stronger GPU adoption."
[Easy Q40] What was Data Center revenue in 2025?,$65.3 billion,"Data Center revenue in 2025 was $65.3 billion, over 80% of total revenue."
[Easy Q41] What was NVIDIA's total revenue in fiscal year 2021?,$16.68 billion,"NVIDIA reported $16.68 billion in revenue in fiscal year 2021, driven by Gaming and Data Center growth."
[Easy Q42] What was NVIDIA's revenue in fiscal year 2022?,$26.91 billion,"Revenue for fiscal 2022 was $26.91 billion, reflecting a 61% increase year-over-year."
[Easy Q43] What was NVIDIA's revenue in fiscal year 2023?,$26.97 billion,"In fiscal 2023, revenue was $26.97 billion, nearly flat from 2022 due to Gaming declines offset by Data Center growth."
[Easy Q44] What was NVIDIA's revenue in fiscal year 2024?,$60.9 billion,"Fiscal 2024 revenue surged to $60.9 billion, primarily from Data Center demand for AI workloads."
[Easy Q45] What was NVIDIA's revenue in fiscal year 2025?,$79.8 billion,"In fiscal 2025, NVIDIA reported $79.8 billion in revenue, with Data Center accounting for the majority."
[Easy Q46] What was NVIDIA's net income in fiscal 2021?,$4.33 billion,"NVIDIA earned net income of $4.33 billion in fiscal 2021, reflecting profitability growth from higher margins."
[Easy Q47] What was NVIDIA's net income in fiscal 2022?,$9.75 billion,"Net income reached $9.75 billion in fiscal 2022, supported by strong revenue growth."
[Easy Q48] What was NVIDIA's net income in fiscal 2023?,$4.37 billion,"Net income declined to $4.37 billion in fiscal 2023, primarily due to gaming revenue weakness."
[Easy Q49] What was NVIDIA's net income in fiscal 2024?,$29.8 billion,"NVIDIA achieved record net income of $29.8 billion in fiscal 2024, fueled by AI demand."
[Easy Q50] What was NVIDIA's net income in fiscal 2025?,$31.4 billion,"Net income increased to $31.4 billion in fiscal 2025, supported by Data Center growth."
