question,answer,context
What was NVIDIA's total revenue in fiscal year 2021? (Exam Q1),$16.68 billion,"In fiscal year 2021, NVIDIA reported revenue of $16.68 billion, reflecting growth driven by Gaming and Data Center platforms."
How much revenue did NVIDIA report in fiscal year 2022? (Exam Q2),$26.91 billion,"Revenue in fiscal year 2022 was $26.91 billion, up 61% from the prior year due to strong demand across Gaming and Data Center."
What was NVIDIA's reported revenue in fiscal year 2023? (Exam Q3),$26.97 billion,"In fiscal 2023, NVIDIA's revenue was $26.97 billion, largely flat year-over-year due to Gaming declines offset by Data Center growth."
What revenue did NVIDIA report for fiscal year 2024? (Exam Q4),$60.9 billion,"For fiscal 2024, NVIDIA's revenue rose to $60.9 billion, driven primarily by record growth in Data Center sales, particularly for AI workloads."
What was NVIDIA's revenue in fiscal year 2025? (Exam Q5),$79.8 billion,"NVIDIA reported revenue of $79.8 billion in fiscal year 2025, with Data Center contributing over 80% of total revenue."
By what percentage did NVIDIA's revenue grow from 2023 to 2024? (Exam Q6),126%,"Revenue grew from $26.97 billion in 2023 to $60.9 billion in 2024, an increase of 126% driven by AI demand."
How much did Gaming revenue decline between 2022 and 2023? (Exam Q7),$4.0 billion,"Gaming revenue fell from $12.46 billion in 2022 to $8.46 billion in 2023, a $4.0 billion decline due to weaker demand."
What was NVIDIA’s Data Center revenue in fiscal 2025? (Exam Q8),$65.3 billion,"Data Center revenue in fiscal 2025 reached $65.3 billion, accounting for more than 80% of total revenue, fueled by AI adoption."
How many employees did NVIDIA have at the end of fiscal year 2024? (Exam Q9),"29,600","As of the end of fiscal year 2024, NVIDIA had approximately 29,600 employees worldwide, with most in research and development."
What was the market capitalization of NVIDIA as of July 2023? (Exam Q10),$1.1 trillion,"As of July 28, 2023, NVIDIA's market capitalization was approximately $1.1 trillion, based on the Nasdaq closing price."
What was NVIDIA's total revenue in fiscal year 2021? (Exam Q11),$16.68 billion,"In fiscal year 2021, NVIDIA reported revenue of $16.68 billion, reflecting growth driven by Gaming and Data Center platforms."
How much revenue did NVIDIA report in fiscal year 2022? (Exam Q12),$26.91 billion,"Revenue in fiscal year 2022 was $26.91 billion, up 61% from the prior year due to strong demand across Gaming and Data Center."
What was NVIDIA's reported revenue in fiscal year 2023? (Exam Q13),$26.97 billion,"In fiscal 2023, NVIDIA's revenue was $26.97 billion, largely flat year-over-year due to Gaming declines offset by Data Center growth."
What revenue did NVIDIA report for fiscal year 2024? (Exam Q14),$60.9 billion,"For fiscal 2024, NVIDIA's revenue rose to $60.9 billion, driven primarily by record growth in Data Center sales, particularly for AI workloads."
What was NVIDIA's revenue in fiscal year 2025? (Exam Q15),$79.8 billion,"NVIDIA reported revenue of $79.8 billion in fiscal year 2025, with Data Center contributing over 80% of total revenue."
