question,answer,context
[Medium Q1] What was NVIDIA's gross margin in fiscal 2021?,62.3%,"Gross margin for fiscal 2021 was 62.3%, reflecting strong pricing power."
[Medium Q2] What was NVIDIA's gross margin in fiscal 2022?,64.9%,"In fiscal 2022, gross margin was 64.9%, benefiting from product mix."
[Medium Q3] What was NVIDIA's gross margin in fiscal 2023?,56.9%,Gross margin fell to 56.9% in 2023 due to inventory charges and Gaming weakness.
[Medium Q4] What was NVIDIA's gross margin in fiscal 2024?,72.7%,"Gross margin expanded to 72.7% in 2024, a record level driven by AI Data Center sales."
[Medium Q5] What was NVIDIA's gross margin in fiscal 2025?,75.1%,"Gross margin in 2025 rose to 75.1%, supported by high-value AI GPUs."
[Medium Q6] How much did NVIDIA spend on R&D in 2021?,$3.92 billion,NVIDIA spent $3.92 billion on research and development in 2021.
[Medium Q7] How much did NVIDIA spend on R&D in 2022?,$5.27 billion,Research and development expense was $5.27 billion in 2022.
[Medium Q8] How much did NVIDIA spend on R&D in 2023?,$7.34 billion,R&D spending increased to $7.34 billion in 2023.
[Medium Q9] How much did NVIDIA spend on R&D in 2024?,$8.68 billion,"R&D expense reached $8.68 billion in 2024, reflecting investments in AI and CPUs."
[Medium Q10] How much did NVIDIA spend on R&D in 2025?,$10.5 billion,"In fiscal 2025, R&D spending grew to $10.5 billion to support new platforms."
[Medium Q11] How many employees did NVIDIA have in 2021?,"18,975","NVIDIA employed 18,975 people in fiscal 2021."
[Medium Q12] How many employees did NVIDIA have in 2022?,"22,473","By fiscal 2022, NVIDIA's headcount rose to 22,473 employees."
[Medium Q13] How many employees did NVIDIA have in 2023?,"26,196","The workforce expanded to 26,196 employees in 2023."
[Medium Q14] How many employees did NVIDIA have in 2024?,"29,600","Headcount grew to 29,600 employees in 2024, with most in R&D roles."
[Medium Q15] How many employees did NVIDIA have in 2025?,"29,800","By 2025, NVIDIA's workforce was approximately 29,800 employees."
[Medium Q16] What was NVIDIA's market capitalization in July 2021?,$390 billion,"As of July 2021, NVIDIA's market capitalization was approximately $390 billion."
