question,answer,context
What was the total acquisition termination cost NVIDIA recorded in fiscal year 2023?,$1.35 billion,NVIDIA recorded an acquisition termination cost of $1.35 billion in fiscal year 2023 reflecting the write-off of the prepayment provided at signing due to the terminated acquisition of Arm Limited.
What are the two primary segments in which NVIDIA reports its business results?,Compute & Networking and Graphics,NVIDIA reports its business results in two segments: Compute & Networking and Graphics.
Which architecture was introduced with the GeForce RTX 40 Series in fiscal year 2023?,Ada Lovelace architecture,"In fiscal year 2023, NVIDIA introduced the GeForce RTX 40 Series of gaming GPUs, based on the Ada Lovelace architecture."
What platform enables scientists to perform ultra-high-resolution predictions of climate change impacts?,Earth-2 on NVIDIA AI and Omniverse,"NVIDIA plans to build Earth-2, a digital twin of the Earth on NVIDIA AI and Omniverse platforms, to enable high-resolution predictions of climate change."
How many employees did NVIDIA have at the end of fiscal year 2023?,"26,196 employees","As of the end of fiscal year 2023, NVIDIA had 26,196 employees in 35 countries."
What percentage of NVIDIA's fiscal year 2023 hires came from employee referrals?,Over 37%,Over 37% of NVIDIA’s new hires in fiscal year 2023 came from employee referrals.
What is NVIDIA’s goal for renewable energy usage by the end of fiscal year 2025?,Match 100% of global electricity usage with renewable energy,NVIDIA aims to purchase or generate enough renewable energy to match 100% of its global electricity usage for offices and data centers by the end of fiscal year 2025.
What product was NVIDIA’s first Hopper-based GPU introduced in fiscal year 2023?,H100,"In fiscal year 2023, NVIDIA introduced the Hopper architecture and started shipping the first Hopper-based GPU – the flagship H100."
How many developers were using CUDA and NVIDIA software tools as of fiscal year 2023?,3.8 million developers,There are 3.8 million developers worldwide using CUDA and other NVIDIA software tools.
Which NVIDIA platform provides a digital twin simulation environment for autonomous vehicle development?,NVIDIA DRIVE Sim,"NVIDIA DRIVE Sim, based on Omniverse, provides a data center-based simulation platform for digital cockpit and self-driving platform development."
What was the employee turnover rate at NVIDIA in fiscal year 2023?,5.3%,"In fiscal year 2023, NVIDIA's overall employee turnover rate was 5.3%."
What are NVIDIA's four key market platforms?,"Data Center, Gaming, Professional Visualization, and Automotive","NVIDIA’s platforms address four large markets: Data Center, Gaming, Professional Visualization, and Automotive."
What AI capability does the Transformer Engine in H100 GPUs accelerate?,Training of AI transformer models,The Transformer Engine in the H100 GPU accelerates the training of AI transformer models by an order of magnitude over the prior generation.
What percentage of the top 30 systems on the Green500 list did NVIDIA power in November 2022?,23 of the top 30 systems,NVIDIA powered 23 of the top 30 most energy efficient systems on the November 2022 Green500 list.
Which system is NVIDIA's AI supercomputer designed for deep learning?,DGX,NVIDIA’s DGX AI supercomputer is a purpose-built system for deep learning and GPU accelerated applications.
Which companies does NVIDIA list as suppliers for semiconductor wafer production?,Taiwan Semiconductor Manufacturing Company Limited and Samsung Electronics Co. Ltd.,NVIDIA utilizes Taiwan Semiconductor Manufacturing Company Limited and Samsung Electronics Co. Ltd. to produce semiconductor wafers.
What simulation platform is Earth-2 based on?,NVIDIA Omniverse,Earth-2 is based on NVIDIA Omniverse and NVIDIA AI platforms for climate simulation.
What is NVIDIA’s automotive AI platform brand?,DRIVE Hyperion,NVIDIA delivers its end-to-end solution for the AV market under the DRIVE Hyperion brand.
Which GPU architecture introduced in FY23 includes third-generation RTX and DLSS technologies?,Ada Lovelace,"The GeForce RTX 40 Series, introduced in fiscal year 2023, is based on the Ada Lovelace architecture featuring third-generation RTX and DLSS."
What end markets can NVIDIA's unified architecture support due to its programmable nature?,"Data Center, Gaming, Professional Visualization, Automotive","NVIDIA’s unified programmable architecture allows it to support multiple end markets including Data Center, Gaming, Professional Visualization, and Automotive."
