question,answer,context
What was NVIDIA's total revenue in fiscal year 2021?,$16.68 billion,"NVIDIA reported $16.68 billion in revenue in fiscal year 2021, driven by Gaming and Data Center growth."
What was NVIDIA's revenue in fiscal year 2022?,$26.91 billion,"Revenue for fiscal 2022 was $26.91 billion, reflecting a 61% increase year-over-year."
What was NVIDIA's revenue in fiscal year 2023?,$26.97 billion,"In fiscal 2023, revenue was $26.97 billion, nearly flat from 2022 due to Gaming declines offset by Data Center growth."
What was NVIDIA's revenue in fiscal year 2024?,$60.9 billion,"Fiscal 2024 revenue surged to $60.9 billion, primarily from Data Center demand for AI workloads."
What was NVIDIA's revenue in fiscal year 2025?,$79.8 billion,"In fiscal 2025, NVIDIA reported $79.8 billion in revenue, with Data Center accounting for the majority."
What was NVIDIA's net income in fiscal 2021?,$4.33 billion,"NVIDIA earned net income of $4.33 billion in fiscal 2021, reflecting profitability growth from higher margins."
What was NVIDIA's net income in fiscal 2022?,$9.75 billion,"Net income reached $9.75 billion in fiscal 2022, supported by strong revenue growth."
What was NVIDIA's net income in fiscal 2023?,$4.37 billion,"Net income declined to $4.37 billion in fiscal 2023, primarily due to gaming revenue weakness."
What was NVIDIA's net income in fiscal 2024?,$29.8 billion,"NVIDIA achieved record net income of $29.8 billion in fiscal 2024, fueled by AI demand."
What was NVIDIA's net income in fiscal 2025?,$31.4 billion,"Net income increased to $31.4 billion in fiscal 2025, supported by Data Center growth."
How much revenue did NVIDIA's Gaming segment contribute in 2021?,$7.76 billion,"Gaming revenue was $7.76 billion in 2021, making it the largest segment at the time."
What was Data Center revenue in 2021?,$6.7 billion,"Data Center revenue in fiscal 2021 reached $6.7 billion, reflecting growing AI adoption."
What was Gaming revenue in 2022?,$12.46 billion,"Gaming revenue rose to $12.46 billion in 2022, boosted by strong GPU demand."
What was Data Center revenue in 2022?,$10.6 billion,"Data Center revenue grew to $10.6 billion in 2022, making it the fastest-growing segment."
What was Gaming revenue in 2023?,$8.46 billion,Gaming revenue fell to $8.46 billion in 2023 due to lower demand and channel corrections.
What was Data Center revenue in 2023?,$15.0 billion,"Data Center revenue increased to $15.0 billion in 2023, offsetting Gaming weakness."
What was Gaming revenue in 2024?,$9.0 billion,"Gaming revenue reached $9.0 billion in 2024, recovering modestly from the prior year."
What was Data Center revenue in 2024?,$47.5 billion,"Data Center revenue skyrocketed to $47.5 billion in 2024, driven by AI workloads."
What was Gaming revenue in 2025?,$10.4 billion,"Gaming revenue increased to $10.4 billion in 2025, reflecting stronger GPU adoption."
What was Data Center revenue in 2025?,$65.3 billion,"Data Center revenue in 2025 was $65.3 billion, over 80% of total revenue."
What was NVIDIA's gross margin in fiscal 2021?,62.3%,"Gross margin for fiscal 2021 was 62.3%, reflecting strong pricing power."
What was NVIDIA's gross margin in fiscal 2022?,64.9%,"In fiscal 2022, gross margin was 64.9%, benefiting from product mix."
What was NVIDIA's gross margin in fiscal 2023?,56.9%,Gross margin fell to 56.9% in 2023 due to inventory charges and Gaming weakness.
What was NVIDIA's gross margin in fiscal 2024?,72.7%,"Gross margin expanded to 72.7% in 2024, a record level driven by AI Data Center sales."
What was NVIDIA's gross margin in fiscal 2025?,75.1%,"Gross margin in 2025 rose to 75.1%, supported by high-value AI GPUs."
How much did NVIDIA spend on R&D in 2021?,$3.92 billion,NVIDIA spent $3.92 billion on research and development in 2021.
How much did NVIDIA spend on R&D in 2022?,$5.27 billion,Research and development expense was $5.27 billion in 2022.
How much did NVIDIA spend on R&D in 2023?,$7.34 billion,R&D spending increased to $7.34 billion in 2023.
How much did NVIDIA spend on R&D in 2024?,$8.68 billion,"R&D expense reached $8.68 billion in 2024, reflecting investments in AI and CPUs."
How much did NVIDIA spend on R&D in 2025?,$10.5 billion,"In fiscal 2025, R&D spending grew to $10.5 billion to support new platforms."
How many employees did NVIDIA have in 2021?,"18,975","NVIDIA employed 18,975 people in fiscal 2021."
How many employees did NVIDIA have in 2022?,"22,473","By fiscal 2022, NVIDIA's headcount rose to 22,473 employees."
How many employees did NVIDIA have in 2023?,"26,196","The workforce expanded to 26,196 employees in 2023."
How many employees did NVIDIA have in 2024?,"29,600","Headcount grew to 29,600 employees in 2024, with most in R&D roles."
How many employees did NVIDIA have in 2025?,"29,800","By 2025, NVIDIA's workforce was approximately 29,800 employees."
What was NVIDIA's market capitalization in July 2021?,$390 billion,"As of July 2021, NVIDIA's market capitalization was approximately $390 billion."
What was NVIDIA's market capitalization in July 2022?,$448 billion,Market capitalization reached $448 billion in July 2022.
What was NVIDIA's market capitalization in July 2023?,$1.1 trillion,"By July 2023, NVIDIA's market capitalization was around $1.1 trillion."
What was NVIDIA's market capitalization in July 2024?,$1.6 trillion,Market capitalization rose to $1.6 trillion by mid-2024.
What was NVIDIA's market capitalization in July 2025?,$2.0 trillion,"By July 2025, NVIDIA's market capitalization reached $2.0 trillion."
What acquisition did NVIDIA attempt in 2022 that was later terminated?,ARM Holdings,"NVIDIA attempted to acquire ARM Holdings in 2022, but the deal was terminated due to regulatory challenges."
What new product line did NVIDIA launch in 2023 for CPUs?,Grace CPU,"NVIDIA introduced the Grace CPU in 2023, designed for AI and HPC workloads."
What export restrictions impacted NVIDIA's Data Center products in 2023 and 2024?,US export controls on A100 and H100 GPUs,The US government imposed licensing requirements on exports of A100 and H100 GPUs to China and other regions.
What is NVIDIA's sustainability target for renewable energy by 2025?,100%,NVIDIA aims to match 100% of its global electricity use with renewable energy by the end of fiscal 2025.
What digital twin project did NVIDIA announce to address climate change?,Earth-2,"NVIDIA announced Earth-2, a digital twin of the planet for climate modeling."
What percentage of revenue did Data Center represent in 2025?,82%,Data Center accounted for 82% of NVIDIA's revenue in fiscal 2025.
What was NVIDIA’s operating margin in fiscal 2024?,55%,"Operating margin in fiscal 2024 was 55%, reflecting efficiency in scaling AI demand."
What was NVIDIA’s operating margin in fiscal 2025?,52%,"Operating margin in 2025 was 52%, slightly lower due to higher R&D spending."
What business unit includes NVIDIA DRIVE and Jetson platforms?,Compute & Networking,"The Compute & Networking segment includes Data Center, DRIVE, Jetson, AI Enterprise, and networking."
What business unit includes GeForce GPUs and Omniverse?,Graphics,"The Graphics segment includes GeForce, RTX GPUs, GeForce NOW, Omniverse, and professional visualization."
Which customer segment does NVIDIA serve with DGX Cloud?,Enterprises and cloud service providers,DGX Cloud provides AI-training-as-a-service for enterprises and cloud service providers.
What was the largest risk factor highlighted in 2024 related to geopolitics?,Export restrictions to China,Export restrictions on GPUs to China were identified as a major risk factor in 2024.
What role does CUDA play in NVIDIA’s platform?,Programming model for parallel computing,CUDA is the core programming model enabling parallel workloads across GPUs and AI applications.
What industry applications does Clara target?,Healthcare,NVIDIA Clara is designed for AI-powered healthcare and drug discovery applications.
What industry applications does Omniverse target?,Industrial digitalization and 3D internet,Omniverse enables digital twins and industrial metaverse applications for enterprises.
What percentage of employees worked in R&D in 2024?,75%,"In fiscal 2024, 22,200 of 29,600 employees, about 75%, worked in R&D."
What percentage of NVIDIA’s sales are international?,Over 80%,More than 80% of NVIDIA's sales come from customers outside the United States.
What financing action did NVIDIA take in 2021 related to debt?,Issued $5 billion of notes,NVIDIA issued $5 billion in debt notes in 2021 to strengthen liquidity.
What was NVIDIA's free cash flow in 2024?,$27.0 billion,"Free cash flow reached $27.0 billion in 2024, reflecting strong profitability and demand."
What was NVIDIA's cash and equivalents balance in 2025?,$26.3 billion,"NVIDIA ended fiscal 2025 with $26.3 billion in cash, cash equivalents, and marketable securities."
