"What was NVIDIA's total revenue for fiscal year 2024?"|"$60.9 billion"|"NVIDIA's revenue for the fiscal year ended January 28, 2024, was $60.9 billion."
"Which segment contributed the most to NVIDIA's revenue in fiscal year 2024?"|"Data Center segment"|"In fiscal year 2024, NVIDIA's Data Center segment contributed the most to revenue, driven by high demand for AI infrastructure."
"How much did NVIDIA invest in research and development in fiscal year 2024?"|"$8.7 billion"|"NVIDIA's research and development expenses were $8.7 billion in fiscal year 2024."
"What was NVIDIA's net income in fiscal year 2024?"|"$29.8 billion"|"NVIDIA reported a net income of $29.8 billion for fiscal year 2024."
"What is the primary architectural innovation featured in NVIDIA's Hopper GPUs in 2024?"|"Transformer Engine"|"In 2024, nVIDIA's Hopper GPUs introduced the Transformer Engine, designed to accelerate large language model training."
"What risk did NVIDIA highlight regarding U.S. export controls to China in the year 2024?"|"Restrictions on advanced data center GPUs"|"In 2024, nVIDIA identified U.S. government export restrictions on advanced GPUs to China as a material risk factor."
"What percentage of NVIDIA's revenue came from international markets in the year 2024?"|"Approximately 70%"|"Approximately 70% of NVIDIA's fiscal year 2024 revenue came from international customers."
"What was the gross margin for NVIDIA in fiscal year 2024?"|"74.20%"|"NVIDIA achieved a gross margin of 74.2% in fiscal year 2024."
"Which product line within NVIDIA's Data Center segment was a key revenue driver in the year 2024?"|"HGX platform with H100 GPUs"|"In 2024, the HGX platform featuring H100 GPUs was a major revenue driver within the Data Center segment."
"In 2024, what major software platforms does NVIDIA provide under its AI portfolio?"|"NVIDIA AI Enterprise, NVIDIA DGX Cloud, NVIDIA Omniverse"|"In 2024, NVIDIA's AI software offerings include NVIDIA AI Enterprise, DGX Cloud, and Omniverse."
"What was NVIDIA's earnings per share (diluted) for fiscal year 2024?"|"$11.93"|"Diluted earnings per share for fiscal year 2024 were reported at $11.93."
"What was the primary source of growth for NVIDIA's Gaming segment in fiscal year 2024?"|"GeForce RTX 40 Series GPUs"|"In fiscal year 2024, growth in the Gaming segment was driven by the continued success of GeForce RTX 40 Series GPUs."
"How much cash and cash equivalents did NVIDIA hold at the end of fiscal year 2024?"|"$26.3 billion"|"As of January 28, 2024, NVIDIA held $26.3 billion in cash and cash equivalents."
"What was NVIDIA's total operating expenses in the year 2024?"|"$17.9 billion"|"NVIDIA's total operating expenses were $17.9 billion in fiscal year 2024."
"Which regions posed the highest geopolitical risks to NVIDIA in the year 2024?"|"China and Taiwan"|"In 2024, nVIDIA cited geopolitical tensions involving China and Taiwan as material risks to its supply chain and operations."
"In the year 2024, what technology underpins NVIDIA's success in AI and accelerated computing?"|"CUDA parallel computing platform"|"In 2024, nVIDIA's CUDA platform remains foundational to its AI and accelerated computing success."
"How many employees did NVIDIA have at the end of fiscal year 2024?"|"29,600 employees"|"NVIDIA reported 29,600 employees at the end of fiscal year 2024."
"What is NVIDIA's strategy for securing supply chain resilience in 2024?"|"Expanding supplier relationships and placing non-cancellable orders"|"In 2024, to build supply chain resilience, NVIDIA expanded supplier partnerships and used non-cancellable purchase commitments."
"What ESG goal did NVIDIA commit to achieving by the end of fiscal year 2025, including the year 2024?"|"100% renewable energy for global electricity usage"|"NVIDIA aims to match 100% of its global electricity use with renewable energy by the end of fiscal 2025."
"In what year does NVIDIA offer a platform for building 3D internet and metaverse applications?"|"Omniverse Enterprise"|"In 2024, nVIDIA offers Omniverse Enterprise for building and managing 3D internet and metaverse applications."
