question,answer,context
What was the revenue contribution from NVIDIA's Professional Visualization segment in fiscal year 2021?,$1.05 billion,"Professional Visualization revenue was $1.05 billion, reflecting a 13% year-over-year decline due to COVID-related impacts."
How much did NVIDIA’s Automotive segment earn in revenue in fiscal year 2021?,$536 million,"Automotive revenue was $536 million, down 23% from the prior year, mainly due to pandemic-related disruptions."
Which fiscal quarter saw the highest revenue for NVIDIA in fiscal year 2021?,Fourth quarter,"NVIDIA's fourth quarter fiscal 2021 revenue reached $5.00 billion, the highest of any quarter in that fiscal year."
How did NVIDIA’s Gaming revenue in fiscal Q4 2021 compare to Q4 2020?,Increased by 67%,Gaming revenue in Q4 2021 increased 67% year-over-year due to strong demand for the RTX 30 Series.
What was the impact of the Mellanox acquisition on NVIDIA’s gross margin in 2021?,Slightly dilutive,"The Mellanox acquisition had a slightly dilutive impact on gross margins, offset by improved margins in other segments."
What business model does NVIDIA follow for manufacturing its products?,Fabless model,"NVIDIA utilizes a fabless model, outsourcing wafer fabrication, assembly, testing, and packaging to third parties."
How many shares of common stock were outstanding at the end of fiscal year 2021?,620 million,"As of February 19, 2021, NVIDIA had 620 million shares of common stock outstanding."
What was the value of NVIDIA’s inventory at the end of fiscal year 2021?,$1.36 billion,"Inventory was valued at $1.36 billion at January 31, 2021, reflecting increased demand planning."
What types of expenses are included in NVIDIA's operating expenses?,R&D and SG&A,"Operating expenses include Research & Development (R&D) and Selling, General, and Administrative (SG&A) expenses."
"What was NVIDIA’s total assets as of January 31, 2021?",$28.79 billion,NVIDIA reported total assets of $28.79 billion at the end of fiscal year 2021.
What percentage of NVIDIA’s revenue came from outside the United States in fiscal year 2021?,83%,Approximately 83% of NVIDIA’s revenue in fiscal year 2021 was derived from sales outside the U.S.
Which customer accounted for more than 10% of NVIDIA's revenue in fiscal 2021?,Amazon Web Services,"Amazon Web Services was a significant customer, accounting for more than 10% of total revenue."
What are the main components of NVIDIA’s platform strategy?,"Hardware, software, algorithms, libraries, systems, and services","NVIDIA’s platform strategy integrates hardware, software, algorithms, libraries, systems, and services to create value."
How many developers were using CUDA by the end of fiscal year 2021?,Over 2.2 million,More than 2.2 million developers were using CUDA by the end of fiscal 2021.
What types of services does NVIDIA provide under its GeForce NOW platform?,Cloud gaming services,"GeForce NOW provides cloud gaming services, allowing games to run on remote NVIDIA-powered servers."
What innovation is NVIDIA credited with that significantly accelerated AI development?,CUDA programming model,"The CUDA model, introduced in 2006, enabled general-purpose computing on GPUs and accelerated AI development."
Which NVIDIA platform is primarily used in robotics and embedded systems?,Jetson,Jetson is NVIDIA's platform designed for robotics and other embedded AI-based systems.
What financial targets were associated with the earn-out portion of the Arm acquisition agreement?,"Targets for fiscal year ending March 31, 2022","The earn-out was contingent on financial performance targets for Arm for the fiscal year ending March 31, 2022."
How many top supercomputers globally use NVIDIA GPUs and networking?,8 of the top 10,NVIDIA powers 8 of the top 10 supercomputers on the global TOP500 list.
Which NVIDIA product line includes ray tracing and DLSS features for gamers?,NVIDIA RTX,The NVIDIA RTX product line includes ray tracing and DLSS features to enhance gaming realism and performance.
