question,answer,context,difficulty
"Which two reportable segments does the company use to present results?","Compute & Networking; Graphics","Business results are reported in two segments: Compute & Networking and Graphics.","easy"
"Name two major end markets the platforms address besides Gaming.","Data Center and Professional Visualization","The platforms address four large markets: Data Center, Gaming, Professional Visualization, and Automotive.","easy"
"What foundational programming model underpins all of the company's GPUs?","CUDA","The full-stack includes the CUDA programming model that runs on all GPUs.","easy"
"Which architecture did the company launch as a data-center-scale platform in fiscal 2025?","Blackwell","In fiscal 2025, the company launched the Blackwell architecture spanning GPUs, CPUs, DPUs, interconnects and systems.","easy"
"What was the aggregate market value of voting stock held by non-affiliates as of July 26, 2024?","$2.7 trillion","As of July 26, 2024, the aggregate market value held by non-affiliates was about $2.7 trillion.","easy"
"How many common shares were outstanding as of February 21, 2025?","24.4 billion","There were 24.4 billion shares of common stock outstanding as of February 21, 2025.","easy"
"What stock split was effected in June 2024?","Ten-for-one split","A 10-for-1 stock split was effected in June 2024, with authorized shares increased to 80 billion.","easy"
"How much stock did the company repurchase in fiscal 2025?","$34.0 billion","In fiscal 2025, 310 million shares were repurchased for $34.0 billion.","easy"
"What cash dividends were paid in fiscal 2025?","$834 million","Cash dividends paid to shareholders during fiscal 2025 totaled $834 million.","easy"
"What remained available under the repurchase authorization at year-end fiscal 2025?","$38.7 billion","As of January 26, 2025, the company had $38.7 billion remaining under the share repurchase authorization.","easy"
"What percentage of fiscal 2025 revenue was generated outside the United States?","53%","International sales accounted for 53% of total revenue in fiscal 2025.","easy"
"Approximately how many employees did the company have at the end of fiscal 2025?","36,000","Headcount was roughly 36,000 employees in 38 countries at the end of fiscal 2025.","easy"
"Roughly how many employees worked in research and development roles in fiscal 2025?","27,100","About 27,100 employees were engaged in research and development.","easy"
"What was the overall turnover rate in fiscal 2025?","2.5%","The overall employee turnover rate reported for fiscal 2025 was 2.5%.","easy"
"Which two principal foundry partners fabricate the company’s wafers?","TSMC and Samsung","The company utilizes TSMC and Samsung to produce semiconductor wafers.","easy"
"Name two memory suppliers the company purchases from.","SK Hynix and Micron","Memory is purchased from suppliers including SK Hynix, Micron, and Samsung.","easy"
"What advanced packaging technology is used for certain parts?","CoWoS","The company utilizes CoWoS technology for semiconductor packaging.","easy"
